"In V. 6 statt ""Te trina deitasunaque"" steht ""Te summa deitas unaque"".","","15.0000","","","59v-62r","Hymnus","","25","Commune plurimorum martyrum.  Extra tempus paschale. In II. vesperis","","15025","","4","","Sanctorum meritis","AH 50,204, RH 18607, CAO 8390, AR, p. [36], [38], AMo, p.646, LU, p. 1157-59","",""
"","","15.0000","Dufay OO, vol. 5, p. 69-70 (V. 2, 4)","","62v-64r","Hymnus","","26","Commune confessoris pontificis. In II. vesperis","","15026","","3","","Iste confessor","AH 51,134, RH 9136, CAO 8323, AR, p. [49], [68], AMo, p. 655, 656, 664, 668, 669, 1206, LU, p. 1177-79","","Dufay, Guillaume"
"","","15.0000","Dufay OO, vol. 5, p. 146 (V. 2, 4)","","64v-66r","Hymnus","","27","Commune confessoris pontificis. In II. vesperis","","15027","","4","","Iste confessor","AH 51,134, RH 9136, CAO 8323, AR, p. [49], [68], AMo, p. 655, 656, 664, 668, 669, 1206, LU, p. 1177-79","",""
"","","15.0000","Dufay OO, vol. 5, p. 147 (V. 2), p. 70-71 (V. 4), p. 147-148 (V. 5)","","66v-68r","Hymnus","","28","Commune virginum. In II. vesperis","","15028","","3","","Iesu corona virginum","AH 50,20, RH 9507-08, CAO 8330, AR, p. [89], [90], [91], AMo, p. 677, 777, LU, p. 1211-13","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 54-55 (V. 4), p. 141 (V. 2, 4, 6), p. 142 (V. 4, 6)","","68v-70r","Hymnus","","29","Commune dedicationis ecclesiae. In II. vesperis","","15029","","3","","Urbs beata Ierusalem","AH 51,110, V. 1-4, 9, RH 20918, CAO 8405","","Dufay, Guillaume"
"Kirsch 696","","15.0000","Compére OO, vol. 3, p. 22-31","","71v-76r","Magnificat","","30","Magnificat","","15030","","4","","Magnificat (primi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Compère, Loyset"
"Kirsch 141","","15.0000","","","77v-84r","Magnificat","","31","Magnificat","","15031","","4","","Magnificat (primi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Brumel, Antoine? (Llorens)"
"Kirsch 198","","15.0000","","","85v-91r","Magnificat","","32","Magnificat","","15032","","4","","Magnificat (secundi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","",""
"Kirsch 907","","15.0000","Brawley 1968, p. 32-39","","91v-95r","Magnificat","","33","Magnificat","","15033","","4","","Magnificat (tertii toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Martini, Johannes"
"","","15.0000","Dufay OO, vol. 5, p. 91-94, Montecass. 871, p. 287-294, AMMM, vol. 7, p. 5-16","","95v-99r","Magnificat","","34","Magnificat","","15034","","3","","Magnificat (tertii toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Dufay, Guillaume"
"Kirsch 908","","15.0000","Brawley 1968, p. 52-64","","100v-107r","Magnificat","","35","Magnificat","","15035","","4","","Magnificat (quarti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Martini, Johannes"
"","","15.0000","Agricola OO, vol. 3, p. 77-87.","","108v-117r","Magnificat","","36","Magnificat","","15036","","4","","Magnificat (quarti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Agricola, Alexander/Brumel, Antoine"
"Kirsch 272","","15.0000","","","118v-126r","Magnificat","","37","Magnificat","","15037","","4","","Magnificat (quinti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","",""
"Kirsch 633","","15.0000","Brumel OO, vol. 6, p. 39-47.","","127v-133r","Magnificat","","38","Magnificat","","15038","","4","","Magnificat (sexti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Brumel, Antoine"
"","","15.0000","Brawley 1968, p. 65-76","","134v-140r","Magnificat","","39","Magnificat","","15039","","4","","Magnificat (sexti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Martini, Johannes"
"Kirsch 292","","15.0000","","","141v-144r","Magnificat","","40","Magnificat","","15040","","4","","Magnificat (sexti toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Dufay, Guillaume ? (Llorens)"
"Kirsch 353","","15.0000","","","144v-147r","Magnificat","","41","Magnificat","","15041","","3-4","","Magnificat (septimi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","",""
"Kirsch 807","","15.0000","","","148v-153r","Magnificat","","42","Magnificat","","15042","","4","","Magnificat (octavi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","","Weerbeke, Gaspar van"
"Kirsch 397","","15.0000","","","154v-160r","Magnificat","","43","Magnificat","","15043","","4","","Magnificat (octavi toni)","Magnificat (Lc 1,46-55), GR, p. [166], Amo, p. 129, 727","",""
"","","15.0000","","","161v-163r","Antiphon","","44","In Nativitate Domini. Ad processionem","","15044","","4","","O beata infantia","RH 12677, CAO 3993/94","",""
"","","15.0000","Regis OO, vol. 2, p. 21-29; Winkler 1999, p. XX","","163v-166r","Motette","","45","In Purificatione BMV","","15045","","5","","Clangat plebs flores theotece","Liturgisch nicht nachweisbar, Tenor: Ct 2:2 ""Sicut lilium inter spinas sic amica mea inter filias"", GR, p. [185]","","Regis, Johannes"
