"14006","5","36v-38r","Dufay, Guillaume","Missa Se la face ay pale","Agnus Dei / Agnus Dei / Agnus Dei [dona nobis pacem]","ST|AB / S|AB / ST|AB","Ag 1: T ""Canon Crescit in duplo"", im T ""Agnus tacet"" für das zweite Agnus Dei, B nicht vollst. textiert"
"14007","1","38v-39r","Domarto, Petrus de","Missa Spiritus almus","Kyrie","ST|AB [eigentl. ST|AT2]","T ""Spiritus almus"""
"14007","2","39v-41r","Domarto, Petrus de","Missa Spiritus almus","[Gloria] Et in terra / Qui tollis","ST|AB / -","T ""Spiritus almus""; nur teilw. textiert"
"14007","3","41v-44r","Domarto, Petrus de","Missa Spiritus almus","[Credo] Patrem / Et in spiritum","ST|AB / -","T ""Spiritus almus""; nur teilw. textiert"
"14007","4","44v-46r","Domarto, Petrus de","Missa Spiritus almus","Sanctus / Pleni / Gloria tua / Osanna / Benedictus","ST|AB / S|A / ST|AB / -","T ""Spiritus almus""; nur teilw. textiert, im T und T2 ""Pleni tacet"", jedoch nur bis zur textstelle Gloria tua."
"14007","5","46v-47r","Domarto, Petrus de","Missa Spiritus almus","Agnus Dei / Agnus Dei / Agnus Dei [dona nobis pacem]","ST|AB / S|A / ST|AB","T ""Spiritus almus""; T2 ""Secundus agnus tacet"". Das dritte Agnus ist auch textlich nicht aufgeführt."
"14008","1","47v-48r","Vincenet, Johannes (?)","Missa Aeterne Rex altissime","Kyrie","ST|AB","T ""Eterne rex altissime"""
"14008","2","48v-50r","Vincenet, Johannes (?)","Missa Aeterne Rex altissime","Gloria / Domine fili / Qui tollis","ST|AB / S|A / ST|AB","T, B unvollst. textiert"
"14008","3","50v-52r","Vincenet, Johannes (?)","Missa Aeterne Rex altissime","[Credo] Patrem / Et incarnatus / Crucifixus","ST|AB / - / S|A","T, B unvollst. textiert, Crucifixus beginnt zweistimmig, ab Et ascendit tritt der Tenor und ab Et iterum der Contra[-bassus] dazu."
"14008","4","52r-54r","Vincenet, Johannes (?)","Missa Aeterne Rex altissime","Sanctus / Osanna / Benedictus / Osanna","ST|AB / - / - / -","T ""Eterne rex altissime"""
"14008","5","54v-56r","Vincenet, Johannes (?)","Missa Aeterne Rex altissime","Agnus Dei","ST|AB","T, B unvollst. textiert"
"14009","1","56v-57r","Eloy d'Amerval","Missa Dixerunt discipuli","Kyrie","STT2|AB","T ""Diserunt discipuli"" (T in Ch ??) ""Canon tenoris per tota misa non faciens pausas ... ???"""
"14009","2","57v-59r","Eloy d'Amerval","Missa Dixerunt discipuli","[Gloria] Et in terra","ST2T|AB [58v-59r: STT2+|AB]","T ""Dixerunt discipuli"" ""ad longam""; T2, A, B unvollst. textiert"
"14009","3","59v-61r","Eloy d'Amerval","Missa Dixerunt discipuli","[Credo] Patrem / Crucifixus","ST2|ABT / -","T ""Dixerunt dissipuli""; T2, A, B unvollst. textiert. Crucifixus beginnt zunächst mit T2 und B, ab Et resurrexit alle Stimmen."
"14009","4","61v-63r","Eloy d'Amerval","Missa Dixerunt discipuli","Sanctus / Pleni Osanna / Benedictus","ST2T|AB / S|A / ST2|ATB / ST2|AB / ST2|ATB","T ""Dixerunt discipuli""; Os: T ""ad longum"" nachgetr. In T2, T und B:""Pleni tacet"". Für die beiden Osanna ist handschriftlich ein Stimme später nachgetragen."
"14009","5","63v-65r","Eloy d'Amerval","Missa Dixerunt discipuli","Agnus Dei / Agnus Dei / Agnus Dei [dona nobis pacem]","STT2|AB / ST2|AB / STT2|AB","Im T:""2o agnus tacet""."
"14010","1","65v-67r","","Missa sine nomine","Kyrie / Christe / Kyrie","ST|AB / S|AB / ST|AB",""
"14010","2","67v-69r","","Missa sine nomine","Gloria / Qui tollis / Qui sedes","ST|AB / S|AB / ST|AB","T unvollst. textiert"
"14010","3","69v-71r","","Missa sine nomine","[Credo] Patrem / Et incarnatus / Et resurrexit / Confiteor","ST|AB / S|A / A|B / ST|AB","T, B unvollst. textiert, Im Cantus und Contra[altus]:""Duo Et incarnatus"", in Tenor und Contra[bassus]:""Et incarnatus tacet"" und im Cantus und Tenor zusätzlich:""Et resurrexit tacet""."
"14010","4","71v-73r","","Missa sine nomine","Sanctus / Pleni / Osanna / Benedictus / Osanna","ST|AB / S|AB / ST|AB / S|AB / ST|AB",""
"14010","5","73v-75r","","Missa sine nomine","Agnus Dei","ST|AB",""
"14011","1","76v-78r","Dufay, Guillaume","Missa Ecce ancilla Domini","Kyrie / Christe / Kyrie","ST|AB / S|AB / ST|AB","T ""Ecce ancilla domini"", im T:""Christe tacet""."
