"15012","I-MOe","X. I.11 (ModB)","11v-12r [14v-15r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","O lux beata Trinitas"
"15012","I-TRbc","92","14r (n. 1376)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","O lux beata Trinitas"
"15013","D-Mbs","14274","88r","V. 6","Dufay, Guillaume/Anonymus","Pange lingua gloriosi"
"15013","I-Bc","Q15","291r-291v (n. 302)","V. 2, 6","Dufay, Guillaume/Anonymus","Pange lingua gloriosi"
"15013","I-MOe","X. I.11 (ModB)","10v-11r [13v-14r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Pange lingua gloriosi"
"15013","I-TRbc","92","238v-239r (n. 1584) [236v n. 1574 nicht authentisch Dufay)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Pange lingua gloriosi"
"15014","I-Bc","Q15","294v (n. 308)","V. 2, ""Dufay""","Dufay, Guillaume/Orto, Marbriano de","Ut queant laxis"
"15014","I-MOe","X. I.11 (ModB)","12v-13r [15v-16r]","V. 2, ""Dufay""","Dufay, Guillaume/Orto, Marbriano de","Ut queant laxis"
"15014","I-TRbc","92","239v (n. 1585)","V. 2","Dufay, Guillaume/Orto, Marbriano de","Ut queant laxis"
"15015","BAV","CS 15 (=15016)","41v-42r","V. 1","Dufay, Guillaume/Anonymus","Aurea luce"
"15015","BAV","SP B80","186r","V. 1","Dufay, Guillaume/Anonymus","Aurea luce"
"15015","I-Bc","Q15","295r (n 320b)","V. 1, ""Dufay""","Dufay, Guillaume/Anonymus","Aurea luce"
"15015","I-MOe","X. I.11 (ModB)","13v-14r [16v-17r]","V. 1, ""Dufay""","Dufay, Guillaume/Anonymus","Aurea luce"
"15016","BAV","CS 15 (=15015)","39v-40r","","Dufay, Guillaume","Doctor egregie"
"15016","BAV","SP B80","186r","","Dufay, Guillaume","Doctor egregie"
"15016","I-Bc","Q15","295r (n. 309)","""du fay""","Dufay, Guillaume","Doctor egregie"
"15016","I-MOe","X. I.11 (ModB)","13v-14r [16v-17r]","V. 4 von Aurea luce ""Dufay""","Dufay, Guillaume","Doctor egregie"
"15017","D-Mbs","14274","81v","V. 2, kein CT,","Dufay, Guillaume/Josquin Desprez","Ave maris stella"
"15017","I-Bc","Q15","292v (n. 304)","V. 2, T au faulx bourdon, CT sine faulxbourdon","Dufay, Guillaume/Josquin Desprez","Ave maris stella"
"15017","I-Bu","2216","25r","V. 2, kein CT, T a faulxbourdon","Dufay, Guillaume/Josquin Desprez","Ave maris stella"
"15017","I-MOe","X. I.11 (ModB)","4v-5r [7v-8r]","V. 2, ""Dufay""","Dufay, Guillaume/Josquin Desprez","Ave maris stella"
"15017","I-TRbc","92","236v (n. 1579)","V. 2, anderer T und CT","Dufay, Guillaume/Josquin Desprez","Ave maris stella"
"15018","I-Bc","Q15","298r (n. 315)","V. 4, ""Dufay""","Josquin Desprez","Nardi Maria pistici"
"15019","keine","-","-","-","","Petrus beatus"
"15020","keine","-","-","-","","Tibi Christe splendor Patris"
"15021","I-Bc","Q15","293r oder 293v (verschiedene Versionen) (n. 305 und 306)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-MC","871","p. 328","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-MOe","X. I.11 (ModB)","15v-16r [18v-19r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-TRbc","90","ir (n. 781)","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-TRbc","92"," 96r (n. 1448)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-TRbc","92","237r (n. 1580)","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15021","I-VEcap","759","96v-97r","V. 2","Dufay, Guillaume/Anonymus","Christe Redemptor omnium conserva"
"15022","BAV","SP B80","189v","V. 2","Dufay, Guillaume/Anonymus","Exsultet caelum laudibus"
"15022","D-Mbs","14274","71r und 73r","V. 2","Dufay, Guillaume/Anonymus","Exsultet caelum laudibus"
"15022","I-Bc","Q15","295v (n. 310)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Exsultet caelum laudibus"
"15022","I-Fn","Magl. XIX.112bis","11r","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Exsultet caelum laudibus"
"15022","I-MOe","X. I.11 (ModB)","17v-18r [20v-21r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Exsultet caelum laudibus"
"15023","BAV","SP B80","187v","V. 2, neuer T, CT","Dufay, Guillaume/Anonymus","Deus tuorum militum"
"15023","I-Bc","Q15","296r (n. 311)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Deus tuorum militum"
"15023","I-MOe","X. I.11 (ModB)","19v [22v]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Deus tuorum militum"
"15023","I-TRbc","88","387r (n. 488)","V. 2","Dufay, Guillaume/Anonymus","Deus tuorum militum"
