"nur Verweise","5.0000","vgl. GR, p. 362","","S. Priscae","In sce P.sce vgis","7v","Proprium","","7","5009",""
"nur Verweise","5.0000","vgl. GR, p. 364-365","","SS. Fabiani et Sebastiani","In scorum mrm Fabiani et Sebast.i","7v","Proprium","","8","5010",""
"nur Verweise","5.0000","vgl. GR, p. 365-366","","S. Agnetis","In sce Agnetis vgis et mris","7v","Proprium","","9","5011",""
"nur Verweise","5.0000","vgl. GR, p. 366","","S. Emerentianae","In festo sancte Emerentiane fit off.m misse ut sup. in festo Prisce","7v-8r","Proprium","","10","5012",""
"","5.0000","vgl. GR, p. 366-369","","Conversio S. Pauli","In c.vsione sancti Pauli apli","8r-9v","Proprium","","11","5013",""
"nur Verweise; ""Si festum sancte Agnetis secundo in dominica venerit, ipso die fit officium de dominica cum commemoratione de festo.""","5.0000","vgl. GR, p. 370","","S. Agnetis (II)","In sce Agnetis secundo","10r","Proprium","","12","5014",""
"fol. 10r: Verweise auf Gebete, Anweisungen","5.0000","vgl. GR, p. 372-376 (dort ohne Nr. 3)","","Purifcatio BMV benedictio candelarum, processio","In festo purificationis","10r-14v","Offizium","","13","5016",""
"","5.0000","vgl. GR, p. 376-379","","Purificatio BMV","Ad missam","15r-19r","Proprium","","14","5017",""
"","5.0000","vgl. GR, p. 379-381","","S. Agathe","In sce Agathe","19r-21v","Proprium","","15","5018",""
"","5.0000","vgl. GR, p. 390","","S. Valentini","In sci Valentini presbiteri","21v-22v","Proprium","","16","5019",""
"","5.0000","vgl. GR, p. 358-362","","Cathedra Petri","In cathedra sci Petri","22v-25v","Proprium","","17","5020",""
"Vermerk auf fol. 27r: ""Tractus supradictus [= Beatus vir] [marg.: ""dicitur in festo unius sancti confessoris""] vel tractus Desiderium anime dicitur in festo unius sancti [marg.: ""martiris""] a septuagesima usque ad feriam iiii mairois ebdomade nisi proprius assignetur vel nisi sit festum alicui sancte in quo dicitur tractus sequens silicet Audi filia. In festo vero plurimorum martirum dicitur tractus Qui seminant / xvi.""","5.0000","vgl. GR, p. 393-394","","S. Gregorii","In sci Gregorii pp et conf","25v-27r","Proprium","","18","5021",""
"nur Verweise; Vermerk: ""Predictus Graduale et tractus non dicuntur si hoc festum post pascha celebratur sed dicuntur duo Alleluia de communi unius sancti a pascha usque ad pentecosten.","5.0000","vgl. GR, p. 396","","S. Benedicti","In sci Benedicti abbatis","27r","Proprium","","19","5022",""
"Vermerk auf fol. 27r: ""Predictus Graduale et tractus sequens non dicuntur si hoc festum post pascha celebratur sed duo alleluia sequentes dicantur.""","5.0000","vgl. GR, p. 396","","Annuntiatio BMV","In annuntiatione beate Marie semper virginis","27r-30v","Proprium","","20","5023",""
